Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
6/6/2018,134.33,135.71,134.12,135.55,+1.43_,1.10%,"4,766,855",134.95,19.4,-2.40%,"29,044",78.30%,21.70%
6/5/2018,133.14,134.63,132.97,134.12,+1.47_,1.10%,"5,123,240",133.85,19.8,4.20%,"27,327",70.90%,29.10%
6/4/2018,130.39,132.8,129.6,132.65,+2.13_,1.60%,"4,860,675",131.7,19,1.60%,"39,609",63.90%,36.10%
6/1/2018,129.88,130.87,128.35,130.52,+1.19_,0.90%,"6,132,794",130.03,18.7,-6.70%,"38,879",74.80%,25.20%
5/31/2018,129.37,130.99,128.41,129.33,+0.03_,0.00%,"6,408,344",129.79,20.1,-0.90%,"39,515",64.10%,35.90%
5/30/2018,132.3,132.55,127.84,129.3,+2.42_,1.90%,"14,170,948",129.91,20.2,-24.10%,"111,996",69.20%,30.80%
5/29/2018,126.75,127.54,126.12,126.88,-1.08_,-0.80%,"8,141,934",126.7,26.7,-8.90%,"96,773",55.70%,44.30%
5/25/2018,128.73,129.25,127.62,127.96,-0.78_,-0.60%,"4,031,805",128.13,29.3,3.30%,"30,359",46.60%,53.40%
5/24/2018,128.81,129.38,127.39,128.74,+0.65_,0.50%,"5,972,385",128.57,28.3,1.00%,"28,367",72.90%,27.10%
5/23/2018,124.88,128.09,124.58,128.09,+2.65_,2.10%,"4,303,892",126.61,28.1,-1.80%,"17,843",67.10%,32.90%
5/22/2018,126.66,127.05,125.26,125.44,-0.93_,-0.70%,"2,789,756",125.81,28.6,3.50%,"14,772",59.80%,40.20%
5/21/2018,128,128.35,126,126.37,-0.59_,-0.50%,"2,887,179",126.95,27.6,-8.10%,"26,798",79.50%,20.50%
5/18/2018,126.06,127.72,125.87,126.96,+0.91_,0.70%,"3,612,262",126.9,30.1,-4.90%,"25,277",59.70%,40.30%
5/17/2018,129.19,129.46,125.55,126.05,-2.72_,-2.10%,"5,556,999",127,31.6,0.30%,"47,361",79.00%,21.00%
5/16/2018,128.71,128.97,127.92,128.77,+0.64_,0.50%,"2,439,933",128.51,31.5,2.00%,"17,094",82.50%,17.50%
5/15/2018,126.93,128.59,126.09,128.13,+0.44_,0.30%,"2,933,123",127.63,30.9,3.80%,"27,848",64.10%,35.90%
5/14/2018,130.79,131,127.16,127.69,-2.94_,-2.30%,"4,169,825",128.58,29.8,0.50%,"31,413",62.40%,37.60%
5/11/2018,130,130.85,128.89,130.63,+0.01_,0.00%,"3,233,163",130.16,29.6,-1.60%,"18,429",61.40%,38.60%
5/10/2018,129.95,131,129.05,130.62,+0.89_,0.70%,"3,772,425",130.34,30.1,-2.50%,"18,313",69.30%,30.70%
5/9/2018,128.88,129.74,127.33,129.73,+0.98_,0.80%,"4,605,347",128.92,30.9,2.30%,"24,937",68.50%,31.50%
5/8/2018,126.59,128.96,126.5,128.75,+1.78_,1.40%,"4,467,772",128.11,30.2,-4.20%,"28,452",70.00%,30.00%
5/7/2018,125.79,127.69,125.46,126.97,+1.85_,1.50%,"4,341,967",126.84,31.5,-5.50%,"39,478",76.40%,23.60%
5/4/2018,124.38,125.84,122.98,125.12,+0.71_,0.60%,"6,341,164",124.93,33.4,-0.80%,"20,162",73.50%,26.50%
5/3/2018,122.62,125,121.67,124.41,+1.59_,1.30%,"4,435,617",123.62,33.6,5.00%,"15,039",67.70%,32.30%
5/2/2018,122.29,123.97,121.74,122.82,-0.29_,-0.20%,"3,671,020",122.81,32,4.00%,"10,842",77.10%,22.90%
5/1/2018,120.88,123.32,120.42,123.11,+2.12_,1.80%,"3,873,908",122.04,30.8,10.80%,"9,978",52.50%,47.50%
4/30/2018,120.87,121.7,119.78,120.99,+0.77_,0.60%,"2,788,268",120.99,27.8,-6.20%,"9,268",52.90%,47.10%
4/27/2018,121.63,121.64,119.55,120.22,-0.61_,-0.50%,"3,801,182",120.28,29.6,-2.10%,"13,040",62.90%,37.10%
4/26/2018,118.7,122.07,118.16,120.83,+3.51_,3.00%,"4,998,816",120.76,30.3,-0.50%,"24,745",58.80%,41.20%
4/25/2018,117.77,118.23,115.04,117.32,-0.56_,-0.50%,"5,080,530",116.97,30.4,-1.50%,"23,409",60.20%,39.80%
4/24/2018,123.34,123.53,116.91,117.88,-4.01_,-3.30%,"5,379,304",119.33,30.9,13.30%,"29,347",77.00%,23.00%
4/23/2018,123.19,124.57,121.24,121.89,-0.93_,-0.80%,"3,932,668",122.58,27.3,1.40%,"19,130",45.30%,54.70%
4/20/2018,124.01,124.38,122.05,122.82,-1.24_,-1.00%,"2,971,019",123.02,26.9,3.60%,"15,299",67.70%,32.30%
